ID,Mutation_Class,Mutant_Status,Line_Number,Mutation_Type,Test_Name
0: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Account.cs[501..532)),Survived,18,Block removal mutation,BankomatUJ.Tests.tests.AccountTest.AccountStatusMethodAfterDepositFundsTest1(5,"elo",True)
0: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Account.cs[501..532)),Survived,18,Block removal mutation,BankomatUJ.Tests.tests.AccountTest.AccountStatusMethodAfterDepositFundsTest1(2,"elo",True)
0: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Account.cs[501..532)),Survived,18,Block removal mutation,BankomatUJ.Tests.tests.AccountTest.AccountStatusMethodAfterDepositFundsTest1(7,"elo",True)
0: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Account.cs[501..532)),Survived,18,Block removal mutation,BankomatUJ.Tests.tests.AccountTest.AccountStatusMethodAfterDepositFundsTest2
0: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Account.cs[501..532)),Survived,18,Block removal mutation,BankomatUJ.Tests.tests.AccountTest.AccountStatusMethodAfterDepositFundsTest3
0: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Account.cs[501..532)),Survived,18,Block removal mutation,BankomatUJ.Tests.tests.AccountTest.AccountStatusMethodAfterWithdrawFundsTest1
0: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Account.cs[501..532)),Survived,18,Block removal mutation,BankomatUJ.Tests.tests.AccountTest.AccountStatusMethodAfterWithdrawFundsTest2
0: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Account.cs[501..532)),Survived,18,Block removal mutation,BankomatUJ.Tests.tests.AccountTest.AccountStatusMethodAfterWithdrawFundsTest3
0: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Account.cs[501..532)),Survived,18,Block removal mutation,BankomatUJ.Tests.tests.AccountTest.DepositFundsMethodCorrectParameterTest1
0: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Account.cs[501..532)),Survived,18,Block removal mutation,BankomatUJ.Tests.tests.AccountTest.DepositFundsMethodCorrectParameterTest2
0: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Account.cs[501..532)),Survived,18,Block removal mutation,BankomatUJ.Tests.tests.AccountTest.DepositFundsMethodCorrectParameterTest3
0: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Account.cs[501..532)),Survived,18,Block removal mutation,BankomatUJ.Tests.tests.AccountTest.DepositFundsMethodIncorrectParameterTest1
0: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Account.cs[501..532)),Survived,18,Block removal mutation,BankomatUJ.Tests.tests.AccountTest.DepositFundsMethodIncorrectParameterTest2
